Barrier ID,Site Name,Watershed Name ,Structure Type,Assessment Step Completed,Next Step,Reason,Notes ,Supporting Links
199131,Scottie Creek @ Highway 97 (BR-012),Bonaparte River,Stream crossing - CBS,Barrier assessment,Habitat confirmation (data deficient structures only),"High quality habitat suitable for CO, ST, RB",Very large culvert with a huge drop at the outlet. Not fish passable. Good drop pool at the outlet but quite high for jumping.,http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=200451
199130,Clinton Creek @ Mound Rd (BR-010),Bonaparte River,Stream crossing - CBS,Barrier assessment,Habitat confirmation (data deficient structures only),Consider minnow trapping to confirm but likely only RB present if any fish. Determine whether to advance to habitat confirmation or exclude.,"Beaver in wetland area upstream. Landowner says culvert floods yearly. Riparian is good around the site. Slope is very low, flat channel",http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=200450
199624,Orehan Jack Creek @ Hat Creek Road (BR-019),Bonaparte River,Stream crossing - CBS,Barrier assessment,Engage with partners,"Rainbow Trout in stream, culvert undersized. Possibly MOTI or possibly private property owner. Determine habitat value via habitat confirmation.",Lots of riparian cover over stream. Very dense and difficult to walk.,http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=200465
199126,Maiden Creek @ Loon Lake Rd (BR-005),Bonaparte River,Stream crossing - CBS,Barrier assessment,Engage with partners,Culvert rotting. Steelhead record upstream from 1985. ,Four culverts at site. 2 smaller where flow is going through. One large for animal movement and one smaller one on river right. Highly Fanned channel above and below culvert. Landowner said they are bent in the middle.,http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=200446
204379,Clinton Cr @ Mound Rd (204379),Bonaparte River,Stream crossing - CBS,Barrier assessment,Habitat confirmation (data deficient structures only),Habitat quality appears high with groundwater influences. Limited habitat upstream due to gradient barrier but potential to improve flows through fan downstream by fixing crossing,"Downstream severely damaged by culvert, causing islands and braiding",http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=205914L
