Conservation Unit ,Biological Status ,Run Timing ,Trends in spawner abundance ,Trend in Spawner abundance (last 3 generations 
Lower Thompson ,Threatened ,September -November ,71.70% ,122.60% 
South Thompson  ,Threatened ,September - October ,-32.40% ,191.20% 
