Barrier ID,Site Name,Watershed Name ,Structure Type,Assessment Step Completed,Next Step,Reason,Notes ,Supporting Links
f0b1f169-8de3-4f6c-a497-424bd024c9ae,Creighton Creek (dam),Bessette,Dam,Informal assessment,Engage with partners,"Unclear whether structure exists, follow up with Colin McGregor","Original dam point at location of BC-000, Colin McGregor (DFO) indicates a concrete weir exists east of point closer to the road.",
199648,Creighton Creek @ Driveway (BC-008),Bessette,Stream crossing - CBS,Barrier assessment,In-depth passage assessment (data deficient structures only),Could be an embedded concrete box culvert. Would score as a potential barriere if so. Unlikely to be a passage issue but could present velocity barrier during higher flows,,http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=201014
3741,Vance Creek @ Lumby Mabel Cr Rd (BC-011/BC-012),Bessette,Stream crossing - CBS,Barrier assessment,Habitat confirmation (data deficient structures only),Crews could not access.,,
3742,Vance Creek @ Trinity Valley Road (BC-030),Bessette,Stream crossing - CBS,Barrier assessment,Habitat confirmation (data deficient structures only),,,
795b61b8-2544-4721-bf51-b3249dc5e718,Duteau Creek dam (BC-013),Bessette,Dam,Other,Barrier assessment (data deficient structures only),,,
